ThreadName,Message,ServerThreadName,UserName,AuditTime,PduType,LogTime
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:46:07:943,"Chat  ",2019-12-04 11:46:07:945
Client-Client-Thread-7,++++++++++,,Client-Thread-7,2019-12-04 11:46:07:946,"Chat  ",2019-12-04 11:46:07:953
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:46:07:947,"Chat  ",2019-12-04 11:46:07:953
Client-Client-Thread-8,++++++++++,,Client-Thread-8,2019-12-04 11:46:07:948,"Chat  ",2019-12-04 11:46:07:954
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:46:07:948,"Chat  ",2019-12-04 11:46:07:955
Client-Client-Thread-6,++++++++++,,Client-Thread-6,2019-12-04 11:46:07:950,"Chat  ",2019-12-04 11:46:07:955
Client-Client-Thread-10,++++++++++,,Client-Thread-10,2019-12-04 11:46:07:951,"Chat  ",2019-12-04 11:46:07:960
Client-Client-Thread-3,++++++++++,,Client-Thread-3,2019-12-04 11:46:07:952,"Chat  ",2019-12-04 11:46:07:961
Client-Client-Thread-5,++++++++++,,Client-Thread-5,2019-12-04 11:46:07:953,"Chat  ",2019-12-04 11:46:07:962
Client-Client-Thread-4,++++++++++,,Client-Thread-4,2019-12-04 11:46:07:953,"Chat  ",2019-12-04 11:46:07:963
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:46:07:967,"Chat  ",2019-12-04 11:46:07:968
Client-Client-Thread-7,++++++++++,,Client-Thread-7,2019-12-04 11:46:07:974,"Chat  ",2019-12-04 11:46:07:975
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:46:07:983,"Chat  ",2019-12-04 11:46:07:984
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:46:07:990,"Chat  ",2019-12-04 11:46:07:992
Client-Client-Thread-6,++++++++++,,Client-Thread-6,2019-12-04 11:46:08:008,"Chat  ",2019-12-04 11:46:08:009
Client-Client-Thread-5,++++++++++,,Client-Thread-5,2019-12-04 11:46:08:012,"Chat  ",2019-12-04 11:46:08:013
Client-Client-Thread-10,++++++++++,,Client-Thread-10,2019-12-04 11:46:08:015,"Chat  ",2019-12-04 11:46:08:015
Client-Client-Thread-3,++++++++++,,Client-Thread-3,2019-12-04 11:46:08:023,"Chat  ",2019-12-04 11:46:08:025
Client-Client-Thread-8,++++++++++,,Client-Thread-8,2019-12-04 11:46:08:037,"Chat  ",2019-12-04 11:46:08:038
Client-Client-Thread-7,++++++++++,,Client-Thread-7,2019-12-04 11:46:08:051,"Chat  ",2019-12-04 11:46:08:053
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:46:08:054,"Chat  ",2019-12-04 11:46:08:055
Client-Client-Thread-4,++++++++++,,Client-Thread-4,2019-12-04 11:46:08:055,"Chat  ",2019-12-04 11:46:08:055
Client-Client-Thread-6,++++++++++,,Client-Thread-6,2019-12-04 11:46:08:059,"Chat  ",2019-12-04 11:46:08:060
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:46:08:065,"Chat  ",2019-12-04 11:46:08:069
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:46:08:067,"Chat  ",2019-12-04 11:46:08:069
Client-Client-Thread-8,++++++++++,,Client-Thread-8,2019-12-04 11:46:08:070,"Chat  ",2019-12-04 11:46:08:071
Client-Client-Thread-4,++++++++++,,Client-Thread-4,2019-12-04 11:46:08:082,"Chat  ",2019-12-04 11:46:08:083
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:46:08:086,"Chat  ",2019-12-04 11:46:08:088
Client-Client-Thread-3,++++++++++,,Client-Thread-3,2019-12-04 11:46:08:090,"Chat  ",2019-12-04 11:46:08:093
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:46:08:091,"Chat  ",2019-12-04 11:46:08:094
Client-Client-Thread-10,++++++++++,,Client-Thread-10,2019-12-04 11:46:08:092,"Chat  ",2019-12-04 11:46:08:094
Client-Client-Thread-5,++++++++++,,Client-Thread-5,2019-12-04 11:46:08:093,"Chat  ",2019-12-04 11:46:08:095
